"title","content","date","variant","images","verified","author","rating","product","url"
"""Stiff"" shoe","I like to the look of the shoe but it is very 'stiff"" and ""bulky"".  I tried to break it in for a couple of months but no luck. I cannot wear it to my crossfit workouts since it is not flexible.","25 Mar 2020","Size: 9.5 Color: White/Metallic Silver/Dark Grey","","Yes","Ms. M","1.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"Great shoe but can find less expensive at other stores","I absolute LOVE this shoe. Nike’s are usually hit or miss for me but these are wide enough, leave room to wiggle my toes and the sole is soft and supportive. Only problem I found buying them from Amazon is I bought them for just under $100 and two days after wearing them, Kohl’s had them on sale for $56!!! Shop around! You may find them for a better price elsewhere.","03 May 2020","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","SarahSam","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"Awesome!","I live these shoes. I get a lot of compliments. They’re what you should expect from these kinds of gym shoes. They’re white, so I’m always trying to keep them clean. I love them though!","10 Nov 2019","Size: 11 Color: White/Metallic Silver/Dark Grey","","Yes","Kymberlei","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"Great shoes!!!!","Love these shoes!  These are my 2nd pair, I wore the first pair for so long that they finally wore out.  A co worker of mine saw me wearing them and liked them so much she tried mine on to know what size to order. Lol.  They are comfy and super cute, highly recommend them.","04 Mar 2020","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Amazon Customer","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"These are my go to tennis shoes!!","I have had several pairs of these shoes, usually bought at stores, but haven't been able to find them anywhere lately. Found these on Amazon, they were more expensive here, $109 or so, but I know how they fit and I love them!","30 Jul 2019","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Sara","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"Perfect","I’ve seen these shoes on someone else and fell in love with them. I ordered them for myself and I love them on me too. They’re comfortable and look great.","04 Nov 2018","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","sabine","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"Need to be broken in..","I really like this shoe style. They are really cute. The only problem was the back of my ankle  hurt from the shoe rubbing against it. I had to place a few bandaids on the area for comfort. Once broken in they're the perfect fit.","18 Mar 2020","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Theresa Washington","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"Glad I bought them","I love these shoes. Some of the new tennis shoes are a fabric material and as a result are a bit soft. I prefer the sturdier ones like these. Love them!","16 Feb 2020","Size: 9.5 Color: White/Metallic Silver/Dark Grey","","Yes","Jane T.","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"Love them","I bought these for work and they are super comfy. Just be warned, they are wide but narrow across the laces so if you have a super high arch they may not be comfortable.","12 Nov 2019","Size: 7 Color: White/Metallic Silver/Dark Grey","","Yes","RRoberts","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"💘","I read all reviews. They were stiff, but I wore last night to work and they loosened right up. My shoes WERE PERFECT, NO DAMAGE OR DISCOLORATION. WORTH THE MONEY.","07 May 2020","Size: 7 Color: White/Metallic Silver/Dark Grey","","Yes","CHARLENE MARLOW","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"True fit","True fit and feels great on foot. Only thing is the back of shoe will hit Achilles area if you're sensitive. But you can condition that area of the shoe so it's not so stiff. Love the shoes!","06 Apr 2019","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","KMS","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"Not comfortable","Not real comfortable.  Wouldnt wear on a run. Wear to the gym. Ok for cardio machines. I kept cuz I liked the color but a great disappointment for athletic shoe","03 Jan 2020","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","Silvia","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"Great support!","Amazingly comfortable and great for high arches and plantar fasciitis.","03 Jun 2019","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Shawna McMullen","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"Cute but not comfy","I receive a lot of compliments on these shoes but they are not as comfortable as I would have hoped. I do not use them to workout in because of that.","03 Jan 2020","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","Amazon Customer","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6&sortBy=recent
"
"Comfortable and Cute","Used for walking around in Boston. Comfortable all day and very cute! Glad I made the purchase.","08 Jun 2019","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","Claudene R.","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"I LOVE these shoes.","I have Plantar Fasciitis so arch support is very important. I have wasted A LOT of money on shoes that claim to be great. This style of shoe has never disappointed me. This is my second pair of this style and will be the only shoe I buy from now on.","09 Apr 2020","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Janene Wheaton","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"True fit","These are soooooooi comfy I can’t express how much I love them. I wish they were in other colors (green, orange, or teal) I hate pink and they make me like it.  Slightly less than moderate arch support.  But a new insole specifically for that would resolve the issue","18 Apr 2020","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Freedom","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"Wonderful price and beautiful shoes","Wife love the way they feel","26 Nov 2018","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Shuntwon barnett","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"Nike is the best shoes for me","This is my second pair or I probably would not have ordered them online. They’re very good shoes. I stand on my feet all day so I have to use arch support with them but that’s due to my occupation.","27 Oct 2019","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Amazon Customer","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"Order a half size up","I ordered up a half size as usual for Nike, the run half a size snug. Great arch and heel support. I wish the came in grey instead of stark white thou. Overall very happy","01 May 2019","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Amy","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"Not for the narrow","Too loose in the heel for my narrow feet.  I was hoping the heel would fit similar to the Shox NZ but that wasnt the case.  Nice shoe, great price, just not right for my narrow feet","05 Feb 2020","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","Susan Pelkey","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"Nice colors","There okay, the  colors are pretty but I like the white ones they sell better.  So I bought the last pair of those Also 😆💯👍🏼","10 Nov 2019","Size: 9 Color: Black/White/Mtlc Cool Grey","","Yes","Jen","2.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"These sneakers are great.","I love these tennis shoes.  They fit well.  They look and feel comfortable.  I would recommend these sneakers to anyone.","05 Aug 2018","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","Shannon Lyons","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"Love these!","These shoes are gorgeous! Pics do no justice. Totally in love with them. Wish they came with memory foam soles but well worth buying  :)","20 Apr 2020","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","hkeeley","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7&sortBy=recent
"
"Four Stars","very comfy.","06 Aug 2018","Size: 7 Color: White/Metallic Silver/Dark Grey","","Yes","Jayne Morgan","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"Awesome fit & awesome support","Best shoes I have found in a long time. I love these shoes","27 Apr 2019","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","Kathy Dwyer","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"Amazing beautiful shoe","I love this shoe. Most Nike shoes are narrow and don’t fit good. I crushed my right foot and have 13 screws and 8 plates so I have to have a good wide shoe with good support. I love this shoe it is perfect for my foot. Not only does it fit good it’s beautiful just love it. Going to buy a second pair. Great price as well.","01 Mar 2020","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Patricia S.","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"Cute","I did not get them for running. I got them for looks. They have no arch to them so I do not wear them for long periods of time.","19 Jan 2020","Size: 12 Color: White/Metallic Silver/Dark Grey","","Yes","Heidi","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"Perfect walking shoe! So comfy!","Love love love these shoes! So comfy. I walked in these and so far no troubles! Will order in another color!","30 Dec 2019","Size: 10 Color: White/Metallic Silver/Dark Grey","","Yes","Mswilk","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"Thanks , Nike!","These are great!  Take my dog in a 3-mile run every morn and they don’t give out on me!  Thanks Nike!","21 Feb 2020","Size: 6 Color: White/Metallic Silver/Dark Grey","","Yes","Ss","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"Buy a size bigger","Abit too short in length and width","10 May 2019","Size: 11 Color: White/Metallic Silver/Dark Grey","","Yes","Cassandra L.","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"Large toe box, little to no arch support.","These looked huge from above when I tried them on and, as mentioned, the toe box was too wide for me. Main reason I returned them however was due to no arch support and overall not comfortable for me.","10 Jan 2020","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","Queen McLissa","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"I love these tennis for walking","I love these tennis for walking.  They are so comfortable.  I bought a black and pink pair, and also a white pair.","28 Dec 2019","Size: 8.5 Color: Black/White/Mtlc Cool Grey","","Yes","lou","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"great shoes","i wear them daily and my feet quit hurting","18 May 2019","Size: 11 Color: White/Metallic Silver/Dark Grey","","Yes","private","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8&sortBy=recent
"
"Looked different online","I liked the way they looked in the picture but they looked a lot different in person.","10 Apr 2020","Size: 6 Color: White/Metallic Silver/Dark Grey","","Yes","Tammy C","2.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"Love them","Love these!!!","28 Mar 2019","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","SFC. Retired","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"I love my new NIKE Women's Reax Run 5, Running sneakers!!!","My new NIKE Women's Reax Run 5, Running sneakers are so comfortable. I tried them on when I received and my feet felt real good. I love my new sneakers.","01 Dec 2018","Size: 9.5 Color: White/Metallic Silver/Dark Grey","","Yes","Lisa C Jenkins","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"Larger then described fit poor","Seemed larger then store version. Like there was a issue defective and resold on Nike Amazon","20 Apr 2020","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Kitty","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"Very supportive and comfortable.","I just had full hip and both knees replaced. Have been working on fitness and rehabilitation for weeks now. These Nike shoes have been AMAZING! Worth the money and more. I’m ordering another pair in a darker color for dog walking in the Midwest. I do have a somewhat narrow foot. FYI","06 Jan 2020","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Amazon Customer","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"True to size, very comfortable!","Bought them for my daughter, who loves them; very comfortable.","09 Sep 2018","Size: 12 Color: White/Metallic Silver/Dark Grey","","Yes","Delores Mack","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"Loves these tennis shoes","Love this tennis shoe.  It provides the support I need for walking and working around the house.","29 Oct 2019","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","lou","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"Very Dissatisfied","Looks nothing like the picture. The shoe was so wide it look like I was wearing a huge brick on my foot. No arch at all, very uncomfortable.","29 Apr 2019","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Heather D.","1.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"Love them!","I’be loved This shoes since the first time I saw them ... they make a perfect match for training outfits","01 Aug 2019","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Maria F.","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"Not happy at all with them","The item is not like a regular Nike","23 Dec 2018","Size: 10 Color: White/Metallic Silver/Dark Grey","","Yes","Amazon Customer","2.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9&sortBy=recent
"
"Fit great, don't have to break in.","I really wanted the bigger 'Shox' but they were really expensive. These shoes are a great second option, just a little heavier than my last pair.","12 Nov 2019","Size: 8.5 Color: Black/White/Mtlc Cool Grey","","Yes","Amazon Customer","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"I think it's the men's and not women's shoe.","The toe part of the shoe is boxie looking. Over all a nice shoe just nit what I was looking for. It looks like the man's shoe. I really don't think it is the women's shoe.","14 Aug 2019","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","Aprile Logsdon","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"Ok","Boxy toe. Not exactly what I needed but quality ok. It’s like the shape is ‘off’.","03 May 2020","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Susan Wilson","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"Recommended!","Super supportive. I am a nurse and stay in my feet for long hours at a time.","06 Oct 2019","Size: 9.5 Color: White/Metallic Silver/Dark Grey","","Yes","Nurse192","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"nike","usually nikes fit me perfectly but these are too big and just sitting on the shoe shelf.. sadness","11 Sep 2019","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","mess29tam","1.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"Bulky sneaker","these sneakers are cute, but I think they are a little bulky. I am not a big sneaker person but I was hoping for something lighter. But they fit true to size and they are cute.","18 Jun 2019","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","Leslie P.","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"Odd fit.","This shoe fit weird is best way to explain.  It fit wide and looked bulky on my foot.  Not sure if I mistakenly purchased wide fit.","14 Dec 2019","Size: 6.5 Color: White/Metallic Silver/Dark Grey","","Yes","Katrina","2.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"Ordered 1/2 size larger.","Well constructed.  Needed extra support (cushion) for ball of right foot.  So far, So good.  Very happy with the shoe.","17 Mar 2020","Size: 7 Color: White/Metallic Silver/Dark Grey","","Yes","ushteacher2001","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"Support","Easy to walk on sidewalk the shoe is not heavy perfect match.","03 Apr 2020","Size: 7 Color: White/Metallic Silver/Dark Grey","","Yes","jennifer collins","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"Great shoe.","Shoe fit well, looks great, and stands up with frequent use.","10 Feb 2020","Size: 6.5 Color: White/Metallic Silver/Dark Grey","","Yes","M Irwin","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10&sortBy=recent
"
"Perfect shoe","Great fit, lots of comfort and looks very stylish.","29 Oct 2018","Size: 12 Color: White/Metallic Silver/Dark Grey","","Yes","Dahlia Alert","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&pageNumber=11&sortBy=recent
"
"Dirty","Very cute love the shoes except they sent them in a box that says the original box was damaged in transit and the shoes are dirty.  Paying over 100 for shoes and they are dirty is not acceptable","24 Feb 2020","Size: 11 Color: White/Metallic Silver/Dark Grey","https://images-na.ssl-images-amazon.com/images/I/61z4QEOJEfL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71jv2BWYXXL._SY88.jpg","Yes","Amazon Customer","1.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&pageNumber=11&sortBy=recent
"
"They were very comfortable","They were very comfortable","08 Feb 2019","Size: 9.5 Color: White/Metallic Silver/Dark Grey","","Yes","Amazon Customer","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&pageNumber=11&sortBy=recent
"
"Great look and fit.","Perfect fit and love the look. So many compliments.","11 Dec 2019","Size: 6.5 Color: White/Metallic Silver/Dark Grey","","Yes","Keneagle","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&pageNumber=11&sortBy=recent
"
